date,inside_covers,outside_covers,reserved_covers,walkin_covers,waitlist_covers,no_show_covers,no_show_parties,UC,season,weekday,year,patio_open,apparent_temp_7pm,apparent_temp_12pm,dewpoint_7pm,temp_max,temp_min,temp_range,snow_depth_morning,precip_dinner,precip_dinner_max,snowfall_dinner,precip_type_dinner,windgusts_dinner_max,cloudcover_dinner_mean,precip_lunch,precip_lunch_max,precip_type_lunch,precip_lag0,precip_type_code,precip_lag1,precip_lag2,precip_lag5d,year_code,any_rain_lag1,OC_predicted,cloudcover_bin,UC_predicted,UC_resid
2017-01-12,182,0,124,17,41,13,7,58,Winter,4,2017,0,51.7,50.5,51.1,54.9,37.6,17.299999999999997,0.033,0.0,0.0,0.0,none,31.1,84.5,0.008,0.008,rain,0.303,0,0.185,0.0,0.535,0,1,0.0,3,56.453214882153105,1.5467851178468948
2017-01-13,201,0,131,25,45,19,5,70,Winter,5,2017,0,24.6,33.9,15.4,51.9,22.7,29.2,0.0,0.0,0.0,0.0,none,26.8,79.2,0.0,0.0,none,0.004,0,0.303,0.185,0.488,0,1,0.0,3,58.512821798921316,11.487178201078684
2017-01-14,222,0,155,10,57,10,4,67,Winter,6,2017,0,25.6,24.2,25.8,26.5,14.7,11.8,0.0,0.024,0.012,0.167,snow,11.9,100.0,0.0,0.0,none,0.04,2,0.004,0.303,0.492,0,1,0.0,3,69.45717433606312,-2.457174336063119
2017-01-15,222,0,146,21,55,18,6,76,Winter,7,2017,0,24.9,25.8,21.6,31.7,19.9,11.8,0.033,0.0,0.0,0.0,none,13.0,11.0,0.0,0.0,none,0.0,0,0.04,0.004,0.532,0,1,0.0,0,65.63307093009153,10.366929069908466
2017-01-16,200,0,143,14,43,2,1,57,Winter,1,2017,0,28.6,27.2,25.8,31.9,14.6,17.299999999999997,0.033,0.0,0.0,0.0,none,15.0,82.0,0.0,0.0,none,0.0,0,0.0,0.04,0.532,0,0,0.0,3,54.07846886149312,2.9215311385068787
2017-01-17,139,0,105,19,15,4,2,34,Winter,2,2017,0,34.3,35.6,39.2,35.8,28.2,7.599999999999998,0.033,0.028,0.012,0.0,rain,19.2,100.0,0.0,0.0,none,0.147,1,0.0,0.0,0.347,0,0,0.0,3,49.372777122177844,-15.372777122177844
2017-01-18,173,0,121,24,28,14,6,52,Winter,3,2017,0,32.7,32.2,36.3,36.0,32.2,3.799999999999997,0.033,0.0,0.0,0.0,none,15.4,99.5,0.0,0.0,none,0.044,0,0.147,0.0,0.191,0,1,0.0,3,52.135977689407255,-0.1359776894072553
2017-01-19,186,0,129,23,34,5,3,57,Winter,4,2017,0,34.8,39.6,34.5,43.4,31.1,12.299999999999997,0.0,0.0,0.0,0.0,none,16.8,57.2,0.0,0.0,none,0.0,0,0.044,0.147,0.23099999999999998,0,1,0.0,2,56.396214467815774,0.6037855321842258
2017-01-20,202,0,140,14,48,6,2,62,Winter,5,2017,0,35.6,37.4,39.3,38.1,27.3,10.8,0.0,0.095,0.031,0.0,rain,13.6,100.0,0.0,0.0,none,0.139,1,0.0,0.044,0.191,0,0,0.0,3,55.33782547123354,6.662174528766457
2017-01-21,241,0,163,20,58,4,2,78,Winter,6,2017,0,43.1,41.5,45.6,46.6,35.4,11.200000000000003,0.0,0.0,0.0,0.0,none,16.6,70.5,0.0,0.0,none,0.008,0,0.139,0.0,0.33,0,1,0.0,2,67.48863804934003,10.511361950659975
2017-01-22,167,0,116,26,25,6,3,51,Winter,7,2017,0,39.9,45.5,43.4,46.3,35.9,10.399999999999999,0.0,0.0,0.0,0.0,none,19.0,100.0,0.0,0.0,none,0.008,0,0.008,0.139,0.338,0,1,0.0,3,65.67880787164843,-14.67880787164843
2017-01-23,164,0,129,18,17,16,5,35,Winter,1,2017,0,22.5,25.8,34.9,33.4,21.5,11.899999999999999,0.0,0.181,0.083,0.0,rain,51.7,100.0,0.008,0.004,rain,0.549,1,0.008,0.008,0.199,0,1,0.0,3,50.41385762009831,-15.413857620098312
2017-01-24,179,0,136,2,41,10,4,43,Winter,2,2017,0,26.2,24.9,34.2,27.9,22.0,5.899999999999999,0.0,0.229,0.106,0.0,rain,32.2,100.0,0.07200000000000001,0.02,rain,1.01,1,0.549,0.008,0.7040000000000001,0,1,0.0,3,49.19739860815177,-6.197398608151772
2017-01-25,198,0,151,15,32,2,1,47,Winter,3,2017,0,37.6,33.8,34.2,43.1,21.5,21.6,0.0,0.0,0.0,0.0,none,21.3,14.8,0.0,0.0,none,0.028,0,1.01,0.549,1.714,0,1,0.0,0,52.15129766631294,-5.151297666312942
2017-01-26,148,0,89,17,42,10,4,59,Winter,4,2017,0,30.8,42.8,25.0,42.8,29.3,13.499999999999996,0.0,0.0,0.0,0.0,none,34.9,20.5,0.063,0.031,rain,0.11,0,0.028,1.01,1.6030000000000002,0,1,0.0,0,56.38398025270422,2.6160197472957805
2017-01-27,202,0,140,17,45,8,4,62,Winter,5,2017,0,27.9,30.1,20.8,31.3,23.7,7.600000000000001,0.0,0.0,0.0,0.0,none,31.1,48.5,0.008,0.004,rain,0.012,0,0.11,0.028,1.705,0,1,0.0,1,58.5223125255703,3.4776874744297004
2017-01-28,217,0,142,25,50,8,3,75,Winter,6,2017,0,27.6,25.3,20.5,27.6,18.9,8.700000000000003,0.0,0.0,0.0,0.0,none,28.6,49.5,0.0,0.0,none,0.0,0,0.012,0.11,1.709,0,1,0.0,1,67.44005425952703,7.559945740472969
2017-01-29,198,0,130,17,51,6,3,68,Winter,7,2017,0,27.5,29.7,18.9,30.7,24.3,6.399999999999999,0.0,0.0,0.0,0.0,none,26.2,64.2,0.0,0.0,none,0.0,0,0.0,0.012,1.1600000000000001,0,0,0.0,2,65.6405448453856,2.3594551546143947
2017-01-30,183,0,139,11,33,9,4,44,Winter,1,2017,0,23.9,25.1,12.5,25.2,18.3,6.899999999999999,0.0,0.0,0.0,0.0,none,26.2,56.5,0.0,0.0,none,0.0,0,0.0,0.0,0.15,0,0,0.0,2,54.0649512608134,-10.064951260813402
2017-01-31,161,0,117,15,29,10,4,44,Winter,2,2017,0,22.7,21.1,24.6,25.5,15.2,10.3,0.0,0.0,0.0,0.0,none,19.7,49.5,0.07500000000000001,0.063,snow,0.10300000000000001,0,0.0,0.0,0.122,0,0,0.0,1,52.65579329002968,-8.655793290029678
